GearCode,GearDescription,DiscontinueDate,GearTypeChris
73,DRUM SEINE,,Beach seine
78,BEACH SEINE,,Beach seine
14,DIVING - ABALONE IRON,4/1/96,"Diving, spear, hand"
15,DIVING /HOOKS (SEA URCHINS),4/1/96,"Diving, spear, hand"
18,DIVING,,"Diving, spear, hand"
11,SPEAR,4/1/96,"Diving, spear, hand"
12,HARPOON/SPEAR,,"Diving, spear, hand"
90,HAND TAKE,,"Diving, spear, hand"
63,LARGE MESH DRIFT GN,,Gillnet
64,SMALL MESH DRIFT GN,,Gillnet
65,DRIFT GILL NET,2/1/16,Gillnet
66,SET GILL NET,2/1/16,Gillnet
67,LARGE MESH SET GN,,Gillnet
68,SMALL MESH SET GN,,Gillnet
69,HERRING GN,,Gillnet
1,HOOK & LINE,,Hook & Line
30,HORIZONTAL SET LINE,4/1/96,Longline
82,PELAGIC DEEP-SET LONGLINE,,Longline
81,PELAGIC SHALLOW-SET LONGLINE,,Longline
5,SET LONGLINE,,Longline
32,TROLL LONG LINE,4/1/96,Longline
3,VERTICAL HOOK & LINE/PORTUGUESE LONGLINE,,Longline
31,VERTICAL SET LINE,4/1/96,Longline
0,UNKNOWN,4/1/96,Other
2,LIVE BAIT,4/1/96,Other
4,MOOCHING (SALMON),,Other
6,JIG/BAIT (ALBACORE),,Other
10,MISCELLANEOUS,4/1/96,Other
13,"RAKES, FORKS",4/1/96,Other
17,"KELP BARGE, SHEARING",4/1/96,Other
19,DREDGE,4/1/96,Other
95,RAFT/LINES FOR HERRING ROE ON KELP,,Other
35,DAINISH/SCOTTISH SEINE,,Other
36,JIG/BAIT,4/1/96,Other
42,FISH PUMP,4/1/96,Other
52,PARANZELLA,4/1/96,Other
72,HALF RING,4/1/96,Other
83,"STANDARD BUOY GEAR, DEEP-SET",,Other
84,"LINKED BUOY GEAR, DEEP-SET",,Other
91,HAND PUMP,,Other
99,OTHER,,Other
16,CAST NET,4/1/96,Other net
23,"SHRIMP NET, CHINESE TYPE",4/1/96,Other net
24,FYKE NET,4/1/96,Other net
26,"HOOP NET, CRAB-RINGS",4/1/96,Other net
28,LIFT NET,4/1/96,Other net
40,BRAIL/DIP NET OR A-FRAME,,Other net
41,"DIP NET, ""A"" FRAME",4/1/96,Other net
60,ENTANGLING NETS,4/1/96,Other net
61,TRAMMEL NET,4/1/96,Other net
70,ENCIRCLING NETS,4/1/96,Other net
74,LAMPARA NET,,Other net
80,NET,4/1/96,Other net
71,PURSE SEINE,,Purse seine
20,ENTRAPPING,4/1/96,Trap
21,FISH TRAP,,Trap
22,PRAWN TRAP,,Trap
25,"TRAPS, SEATTLE TYPE (SABLEFISH)",4/1/96,Trap
27,CRAB OR LOBSTER TRAP,,Trap
37,BUCKET TRAP,,Trap
38,BARREL TRAP,,Trap
33,PELAGIC TRAWL,4/1/96,Trawl
34,PAIR TRAWL 2,4/1/96,Trawl
47,"SELECTIVE FLATFISH TRAWL, SMALL FOOTROPE",,Trawl
48,TRAWL - FOOTROPE LESS THAN 8 INCHES IN DIAMETER,,Trawl
49,TRAWL - FOOTROPE GREATER THAN 8 INCHES IN DIAMETER,,Trawl
50,TRAWL NET,4/1/96,Trawl
51,TRAWL WITH ROLLER GEAR,4/1/96,Trawl
53,PAIR TRAWL,,Trawl
54,MIDWATER TRAWL,,Trawl
55,BEAM TRAWL,,Trawl
56,BOTTOM TRAWL,,Trawl
57,BALLOON TRAWL,4/1/96,Trawl
58,SINGLE-RIGGED TRAWL,,Trawl
59,DOUBLE-RIGGED TRAWL,,Trawl
7,TROLL (ALBACORE),,Troll
8,TROLL (GROUNDFISH OR OTHER FISH),,Troll
9,TROLL (SALMON),,Troll
